seed,sample,ranking_score
1,0,0.5207297261565954
1,1,0.5695939629182497
1,2,0.5871093629958928
1,3,0.573759428066961
1,4,0.5381158627323326
2,0,0.5668013640809683
2,1,0.526856932574263
2,2,0.5667597076318529
2,3,0.5550035370763433
2,4,0.5410859790130813
3,0,0.5314073889362149
3,1,0.5168804291049349
3,2,0.5763482791052511
3,3,0.5580281879281483
3,4,0.54905184318775
4,0,0.5061889954373245
4,1,0.5732098149595919
4,2,0.5202067524941713
4,3,0.5592630150045537
4,4,0.5158792775739102
5,0,0.539652490099184
5,1,0.5348763562381402
5,2,0.5552305500883962
5,3,0.5340746524326756
5,4,0.5330675231217861
