seed,sample,ranking_score
1,0,0.3348392347743587
1,1,0.34073233592062674
1,2,0.35808450398741754
1,3,0.3598922763496804
1,4,0.3769760401657883
2,0,0.3356312125683744
2,1,0.3746637704079621
2,2,0.3853718622461869
2,3,0.33548853266530915
2,4,0.3460009972866644
3,0,0.27505212629256226
3,1,0.3013082734565848
3,2,0.30333010426133933
3,3,0.3649575217540889
3,4,0.3170694750237283
4,0,0.3522655590601006
4,1,0.39451874058321257
4,2,0.3062718002910579
4,3,0.3635364407156022
4,4,0.29565747847330404
5,0,0.3473070611494456
5,1,0.305902508883802
5,2,0.3669347821141126
5,3,0.35226700947353995
5,4,0.32978770122901024
